criterion_id,spine,criterion_title,criterion_year,criterion_director,criterion_country,imdb_tconst,imdb_primaryTitle,imdb_startYear,match_score,match_method
0,1.0,Grand Illusion,1937.0,Jean Renoir,"France,",tt0028950,The Grand Illusion,1937.0,99.5,auto
1,2.0,Seven Samurai,1954.0,Akira Kurosawa,"Japan,",tt0047478,Seven Samurai,1954.0,112.0,auto
2,3.0,The Lady Vanishes,1938.0,Alfred Hitchcock,"United Kingdom,",tt0030341,The Lady Vanishes,1938.0,112.0,auto
3,4.0,Amarcord,1973.0,Federico Fellini,"Italy,",tt0071129,Amarcord,1973.0,112.0,auto
4,5.0,The 400 Blows,1959.0,François Truffaut,"France,",tt0053198,The 400 Blows,1959.0,112.0,auto
5,6.0,Beauty and the Beast,1946.0,Jean Cocteau,"France,",tt0038348,Beauty and the Beast,1946.0,112.0,auto
6,7.0,A Night to Remember,1958.0,Roy Ward Baker,"United Kingdom,",tt0051994,A Night to Remember,1958.0,112.0,auto
7,8.0,The Killer,1989.0,John Woo,"Hong Kong,",tt0097202,The Killer,1989.0,112.0,auto
8,9.0,Hard Boiled,1992.0,John Woo,"Hong Kong,",tt0104684,Hard Boiled,1992.0,112.0,auto
9,10.0,Walkabout,1971.0,Nicolas Roeg,"United Kingdom,",tt0067959,Walkabout,1971.0,112.0,auto
10,11.0,The Seventh Seal,1957.0,Ingmar Bergman,"Sweden,",tt0050976,The Seventh Seal,1957.0,112.0,auto
11,12.0,This Is Spinal Tap,1984.0,Rob Reiner,"United States,",tt0088258,This Is Spinal Tap,1984.0,112.0,auto
12,13.0,The Silence of the Lambs,1991.0,Jonathan Demme,"United States,",tt0102926,The Silence of the Lambs,1991.0,112.0,auto
13,14.0,Samurai I: Musashi Miyamoto,1954.0,Hiroshi Inagaki,"Japan,",tt0047444,Samurai I: Musashi Miyamoto,1954.0,112.0,auto
14,15.0,Samurai II: Duel at Ichijoji Temple,1955.0,Hiroshi Inagaki,"Japan,",tt0048579,Samurai II: Duel at Ichijoji Temple,1955.0,112.0,auto
15,16.0,Samurai III: Duel at Ganryu Island,1956.0,Hiroshi Inagaki,"Japan,",tt0049710,Samurai III: Duel at Ganryu Island,1956.0,112.0,auto
