criterion_id,spine,criterion_title,criterion_year,criterion_director,criterion_country,reason
41,42.0,Fishing with John,1992.0,John Lurie,"United States,",year window removed all
65,66.0,The Orphic Trilogy,,,,no title candidates
78,79.0,W. C. Fields—Six Short Films,1933.0,"Monte Brice, Clyde Bruckman, Edwin Middleton, Leslie Pearce, and Arthur Ripley","United States,",no title candidates
85,86.0,Eisenstein: The Sound Years,,,,no title candidates
87,88.0,"Ivan the Terrible, Part II",1958.0,Sergei Eisenstein,"Soviet Union,",year window removed all
100,100.0,Beastie Boys Video Anthology,2000.0,Various,"United States,",no title candidates
124,124.0,Carl Theodor Dreyer,,,,no title candidates
128,128.0,Carl Th. Dreyer—My Metier,1995.0,Torben Skjødt Jensen,"Denmark,",no title candidates
167,167.0,The Complete Monterey Pop Festival,,,,no title candidates
169,169.0,Jimi Plays Monterey & Shake! Otis at Monterey,1986.0,Chris Hegedus…,"United States,",no title candidates
176,176.0,The Killers,,,,ambiguous_or_low_confidence
179,179.0,I Am Curious,,,,no title candidates
184,184.0,"By Brakhage: An Anthology, Volume One",,Stan Brakhage,"United States,",no title candidates
185,185.0,The Adventures of Antoine Doinel,,,,no title candidates
197,197.0,Night and Fog,1955.0,Alain Resnais,"France,",year window removed all
202,202.0,Indiscretion of an American Wife,1953.0,Vittorio De Sica,"United States,",ambiguous_or_low_confidence
203,203.0,The BRD Trilogy,,,,no title candidates
208,208.0,A Film Trilogy by Ingmar Bergman,,,,no title candidates
213,214.0,All That Money Can Buy (a.k.a. The Devil and Daniel Webster),1941.0,William Dieterle,"United States,",no title candidates
231,232.0,A Story of Floating Weeds / Floating Weeds: Two Films by Yasujiro Ozu,,,,no title candidates
238,239.0,The Lower Depths,,,,ambiguous_or_low_confidence
240,241.0,Stage and Spectacle: Three Films by Jean Renoir,,,,no title candidates
249,250.0,John Cassavetes: Five Films,,,,no title candidates
257,258.0,Tanner ’88,1988.0,Robert Altman,"United States,",no title candidates
260,261.0,Fanny and Alexander,,,,ambiguous_or_low_confidence
261,262.0,Fanny and Alexander: Television Version,1983.0,Ingmar Bergman,"Sweden,",no title candidates
262,263.0,Fanny and Alexander: Theatrical Version,1982.0,Ingmar Bergman,"Sweden,",no title candidates
281,282.0,Andrzej Wajda: Three War Films,,,,no title candidates
321,322.0,The Complete Mr. Arkadin,1955.0,Orson Welles,"France,",no title candidates
326,327.0,3 Films by Louis Malle,,,,no title candidates
341,342.0,Six Moral Tales,,,,no title candidates
342,343.0,The Bakery Girl of Monceau,1963.0,Eric Rohmer,"France,",no title candidates
359,360.0,Symbiopsychotaxiplasm: Two Takes by William Greaves,,William Greaves,"United States,",no title candidates
363,364.0,Monsters and Madmen,,,,no title candidates
368,369.0,Paul Robeson: Portraits of the Artist,,,,no title candidates
386,387.0,La Jetée/Sans Soleil,,,,no title candidates
391,392.0,Three Films by Hiroshi Teshigahara,,,,no title candidates
405,406.0,Martha Graham: Dance on Film,1959.0,Nathan Kroll,"United States,",no title candidates
410,411.0,Berlin Alexanderplatz,1980.0,Rainer Werner Fassbinder,"Germany,",year window removed all
417,418.0,4 by Agnès Varda,,,,no title candidates
432,433.0,Patriotism,1966.0,Yukio Mishima and Domoto Masaki,"Japan,",no title candidates
467,468.0,Science Is Fiction: 23 Films by Jean Painlevé,,Jean Painlevé,"France,",no title candidates
470,471.0,"Pigs, Pimps & Prostitutes: 3 Films by Shohei Imamura",,,,no title candidates
479,480.0,The Human Condition,1959.0,Masaki Kobayashi,"Japan,",no title candidates
494,495.0,The Golden Age of Television,,,"United States,",no title candidates
495,496.0,Che,2008.0,Steven Soderbergh,"France,",ambiguous_or_low_confidence
499,500.0,Roberto Rossellini’s War Trilogy,,,,no title candidates
507,508.0,Letters from Fontainhas: Three Films by Pedro Costa,,,,no title candidates
516,517.0,"By Brakhage: An Anthology, Volume Two",,Stan Brakhage,"United States,",no title candidates
517,518.0,"By Brakhage: An Anthology, Volumes One and Two",,,,no title candidates
523,524.0,The Only Son/There Was a Father: Two Films by Yasujiro Ozu,,,,no title candidates
527,528.0,3 Silent Classics by Josef von Sternberg,,,,no title candidates
577,578.0,The Complete Jean Vigo,,,,no title candidates
583,584.0,Kuroneko,1968.0,Kaneto Shindo,"Japan,",ambiguous_or_low_confidence
586,587.0,Three Colors,,,,no title candidates
597,598.0,World on a Wire,1973.0,Rainer Werner Fassbinder,"Germany,",no title candidates
602,603.0,David Lean Directs Noël Coward,,,,no title candidates
606,607.0,A Hollis Frampton Odyssey,,Hollis Frampton,"United States,",no title candidates
614,615.0,The Gold Rush,1942.0,Charles Chaplin,"United States,",year window removed all
630,631.0,Trilogy of Life,,,,no title candidates
638,639.0,The Qatsi Trilogy,,,,no title candidates
654,655.0,Pierre Etaix,,,,no title candidates
671,672.0,3 Films by Roberto Rossellini Starring Ingrid Bergman,,,,no title candidates
683,684.0,Martin Scorsese’s World Cinema Project No. 1,,,,no title candidates
712,713.0,The Essential Jacques Demy,,,,no title candidates
728,729.0,The Complete Jacques Tati,,,,no title candidates
736,737.0,Les Blank: Always for Pleasure,1968.0,Les Blank,"United States,",no title candidates
745,746.0,A Day in the Country,1936.0,Jean Renoir,"France,",year window removed all
771,772.0,Blind Chance,1981.0,Krzysztof Kieślowski,"Poland,",year window removed all
781,782.0,The Apu Trilogy,,,,no title candidates
790,791.0,Lady Snowblood: Love Song of Vengeance,1974.0,Toshiya Fujita,"Japan,",no title candidates
807,808.0,The Kennedy Films of Robert Drew & Associates,,Robert Drew,"United States,",no title candidates
812,813.0,Wim Wenders: The Road Trilogy,,,,no title candidates
823,824.0,"Muriel, or The Time of Return",1963.0,Alain Resnais,"France,",ambiguous_or_low_confidence
836,837.0,Dekalog,1988.0,Krzysztof Kieślowski,"Poland,",no title candidates
840,841.0,Lone Wolf and Cub,,,,no title candidates
841,842.0,Akira Kurosawa’s Dreams,1990.0,Akira Kurosawa,"Japan,",ambiguous_or_low_confidence
855,856.0,The Before Trilogy,,,,no title candidates
872,873.0,Martin Scorsese’s World Cinema Project No. 2,,,,no title candidates
880,881.0,The Marseille Trilogy,,,,no title candidates
899,900.0,100 Years of Olympic Films: 1912–2012,,,,no title candidates
929,930.0,Dietrich & von Sternberg in Hollywood,,,,no title candidates
939,940.0,The Ballad of Gregorio Cortez,1982.0,Robert M. Young,"United States,",no title candidates
